hospital_name,hospital_type,phone,email,website,street_address,suburb,postcode,state,full_address,local_health_district,services,source
Albury Wodonga Health,No emergency department,02 6058 4444,,,201 Borella Road,Albury,2640,NSW,"201 Borella Road, Albury, NSW, 2640",Albury Wodonga Health,No emergency department,NSW Health API
Armidale Rural Referral Hospital,Reporting wait times,02 6776 9500,,,Rusden Street,Armidale,2350,NSW,"Rusden Street, Armidale, NSW, 2350",Hunter New England Local Health District,Reporting wait times,NSW Health API
Auburn Hospital & Community Health Services,Reporting wait times,02 8759 3000,,,Hargrave Road,Auburn,2144,NSW,"Hargrave Road, Auburn, NSW, 2144",Western Sydney Local Health District,Reporting wait times,NSW Health API
Ballina District Hospital,Not reporting wait times,02 6686 2111,,,Cherry Street,Ballina,2478,NSW,"Cherry Street, Ballina, NSW, 2478",Northern NSW Local Health District,Not reporting wait times,NSW Health API
Balmain Hospital,No emergency department,02 9395 2111,,,29 Booth Street,Balmain,2041,NSW,"29 Booth Street, Balmain, NSW, 2041",Sydney Local Health District,No emergency department,NSW Health API
Balranald District Hospital,Not reporting wait times,03 5020 1606,,,Market Street,Balranald,2715,NSW,"Market Street, Balranald, NSW, 2715",Far West Local Health District,Not reporting wait times,NSW Health API
Bankstown Lidcombe Hospital,Reporting wait times,02 9722 8000,,,Eldridge Road,Bankstown,2200,NSW,"Eldridge Road, Bankstown, NSW, 2200",South Western Sydney Local Health District,Reporting wait times,NSW Health API
Baradine Multi-Purpose Service,Not reporting wait times,02 6843 4100,,,Cnr Darling and Macquarie Street,Baradine,2396,NSW,"Cnr Darling and Macquarie Street, Baradine, NSW, 2396",Western NSW Local Health District,Not reporting wait times,NSW Health API
Baradine Residential Aged Care,No emergency department,02 6843 1909,,,Corner of Darling and Macquarie Street,Baradine,2396,NSW,"Corner of Darling and Macquarie Street, Baradine, NSW, 2396",Western NSW Local Health District,No emergency department,NSW Health API
Barham Koondrook Soldiers Memorial Hospital,Not reporting wait times,03 5451 1000,,,Punt Road,Barham,2732,NSW,"Punt Road, Barham, NSW, 2732",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Barraba Multi Purpose Service,Not reporting wait times,02 6782 2500,,,Edward Street,Barraba,2347,NSW,"Edward Street, Barraba, NSW, 2347",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Barraba Residential Aged Care,No emergency department,02 6782 2507,,,Edward Street,Barraba,2347,NSW,"Edward Street, Barraba, NSW, 2347",Hunter New England Local Health District,No emergency department,NSW Health API
Bateman's Bay District Hospital,Not reporting wait times,02 4475 1500,,,7 Pacific Street,Batemans Bay,2536,NSW,"7 Pacific Street, Batemans Bay, NSW, 2536",Southern NSW Local Health District,Not reporting wait times,NSW Health API
Bathurst Base Hospital,Reporting wait times,02 6330 5311,,,Howick Street,Bathurst,2795,NSW,"Howick Street, Bathurst, NSW, 2795",Western NSW Local Health District,Reporting wait times,NSW Health API
Batlow/Adelong Multi Purpose Service,Not reporting wait times,02 6941 4333,,,61-81 Pioneer Street,Batlow,2730,NSW,"61-81 Pioneer Street, Batlow, NSW, 2730",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Batlow/Adelong Residential Aged Care,No emergency department,02 6941 4333,,,61-81 Pioneer Street,Batlow,2730,NSW,"61-81 Pioneer Street, Batlow, NSW, 2730",Murrumbidgee Local Health District,No emergency department,NSW Health API
Bega District Hospital,Not reporting wait times,02 6492 9111,,,McKee Drive,Bega,2550,NSW,"McKee Drive, Bega, NSW, 2550",Southern NSW Local Health District,Not reporting wait times,NSW Health API
Bellingen River District Hospital,Not reporting wait times,02 6659 5800,,,Church Street,Bellingen,2454,NSW,"Church Street, Bellingen, NSW, 2454",Mid North Coast Local Health District,Not reporting wait times,NSW Health API
Belmont Hospital,Reporting wait times,02 4923 2000,,,Croudace Bay Road,Belmont,2280,NSW,"Croudace Bay Road, Belmont, NSW, 2280",Hunter New England Local Health District,Reporting wait times,NSW Health API
Berrigan Residential Aged Care,No emergency department,03 5885 2208,,,Memorial Street,Berrigan,2712,NSW,"Memorial Street, Berrigan, NSW, 2712",Murrumbidgee Local Health District,No emergency department,NSW Health API
Berrigan War Memorial Hospital,Not reporting wait times,03 5885 2208,,,Memorial Street,Berrigan,2712,NSW,"Memorial Street, Berrigan, NSW, 2712",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Bingara Multi Purpose Service,Not reporting wait times,02 6728 0100,,,Keera Road,Bingara,2404,NSW,"Keera Road, Bingara, NSW, 2404",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Bingara Residential Aged Care,No emergency department,02 6728 0130,,,Keera Road,Bingara,2304,NSW,"Keera Road, Bingara, NSW, 2304",Hunter New England Local Health District,No emergency department,NSW Health API
Blacktown Hospital,Reporting wait times,02 9881 8000,,,Blacktown Road,Blacktown,2148,NSW,"Blacktown Road, Blacktown, NSW, 2148",Western Sydney Local Health District,Reporting wait times,NSW Health API
Blayney Multi-Purpose Health Service,Not reporting wait times,02 6368 9000,,,3 Osman Street,Blayney,2799,NSW,"3 Osman Street, Blayney, NSW, 2799",Western NSW Local Health District,Not reporting wait times,NSW Health API
Blue Mountains District ANZAC Memorial Hospital,Reporting wait times,02 4784 6500,,,Cnr Woodlands Road and Great Western Hwy,Katoomba,2780,NSW,"Cnr Woodlands Road and Great Western Hwy, Katoomba, NSW, 2780",Nepean Blue Mountains Local Health District,Reporting wait times,NSW Health API
Boggabri Multi-Purpose Service,Not reporting wait times,02 6749 7000,,,Wee Waa Street,Boggabri,2382,NSW,"Wee Waa Street, Boggabri, NSW, 2382",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Boggabri Residential Aged Care,No emergency department,02 6749 7000,,,Wee Waa Street,Boggabri,2382,NSW,"Wee Waa Street, Boggabri, NSW, 2382",Hunter New England Local Health District,No emergency department,NSW Health API
Bombala Multi Purpose Service,Not reporting wait times,02 6458 5777,,,Wellington Street,Bombala,2632,NSW,"Wellington Street, Bombala, NSW, 2632",Southern NSW Local Health District,Not reporting wait times,NSW Health API
Bombala Residential Aged Care,No emergency department,02 6458 5777,,,Wellington Street,Bombala,2632,NSW,"Wellington Street, Bombala, NSW, 2632",Southern NSW Local Health District,No emergency department,NSW Health API
Bonalbo Hospital,Not reporting wait times,02 6665 1203,,,Clarence Way,Bonalbo,2469,NSW,"Clarence Way, Bonalbo, NSW, 2469",Northern NSW Local Health District,Not reporting wait times,NSW Health API
Boorowa District Hospital,Not reporting wait times,02 6385 3004,,,Dry Street,Boorowa,2586,NSW,"Dry Street, Boorowa, NSW, 2586",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Boorowa Residential Aged Care,No emergency department,02 6385 3004,,,62 Dry Street,Boorowa,2586,NSW,"62 Dry Street, Boorowa, NSW, 2586",Murrumbidgee Local Health District,No emergency department,NSW Health API
Bourke District Hospital,Not reporting wait times,02 6870 8888,,,26 Tarcoon Street,Bourke,2840,NSW,"26 Tarcoon Street, Bourke, NSW, 2840",Western NSW Local Health District,Not reporting wait times,NSW Health API
Bourke Residential Aged Care,No emergency department,02 6870 8888,,,26 Tarcoon Street,Bourke,2840,NSW,"26 Tarcoon Street, Bourke, NSW, 2840",Western NSW Local Health District,No emergency department,NSW Health API
Bowral Hospital,Reporting wait times,02 4861 0200,,,Mona road,Bowral,2576,NSW,"Mona road, Bowral, NSW, 2576",South Western Sydney Local Health District,Reporting wait times,NSW Health API
Braeside Hospital,No emergency department,1300 225013,,,Locked Bag 82 Wetherill Park 1851<br/>340 Prairie Vale Road,Prairiewood,2176,NSW,"Locked Bag 82 Wetherill Park 1851<br/>340 Prairie Vale Road, Prairiewood, NSW, 2176",South Western Sydney Local Health District,No emergency department,NSW Health API
Braidwood Multi Purpose Service,Not reporting wait times,02 4842 2566,,,73 Monkittee Street,Braidwood,2622,NSW,"73 Monkittee Street, Braidwood, NSW, 2622",Southern NSW Local Health District,Not reporting wait times,NSW Health API
Braidwood Residential Aged Care,No emergency department,02 4842 2566,,,73 Monkittee Street,Braidwood,2622,NSW,"73 Monkittee Street, Braidwood, NSW, 2622",Southern NSW Local Health District,No emergency department,NSW Health API
Brewarrina Multi-Purpose Service,Not reporting wait times,02 6830 5000,,,56 Doyle Street,Brewarrina,2839,NSW,"56 Doyle Street, Brewarrina, NSW, 2839",Western NSW Local Health District,Not reporting wait times,NSW Health API
Brewarrina Residential Aged Care,No emergency department,02 6830 5000,,,56 Doyle Street,Brewarrina,2839,NSW,"56 Doyle Street, Brewarrina, NSW, 2839",Western NSW Local Health District,No emergency department,NSW Health API
Broken Hill Base Hospital,Reporting wait times,08 8080 1333,,,Thomas Street,Broken Hill,2880,NSW,"Thomas Street, Broken Hill, NSW, 2880",Far West Local Health District,Reporting wait times,NSW Health API
Bulahdelah Community Hospital,Not reporting wait times,02 4987 9900,,,Richmond Street,Bulahdelah,2423,NSW,"Richmond Street, Bulahdelah, NSW, 2423",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Bulli Hospital,Not reporting wait times,02 4284 4344,,,Hospital Road,Bulli,2516,NSW,"Hospital Road, Bulli, NSW, 2516",Illawarra Shoalhaven Local Health District,Not reporting wait times,NSW Health API
Byron District Hospital,Not reporting wait times,02 6685 6200,,,Shirley & Wordsworth Sts,Byron Bay,2481,NSW,"Shirley & Wordsworth Sts, Byron Bay, NSW, 2481",Northern NSW Local Health District,Not reporting wait times,NSW Health API
Calvary Health Care Sydney,No emergency department,02 9553 3111,,,91-111 Rocky Point Road,Kogarah,2217,NSW,"91-111 Rocky Point Road, Kogarah, NSW, 2217",South Eastern Sydney Local Health District,No emergency department,NSW Health API
Calvary Mater Newcastle,Reporting wait times,02 4921 1211,,,20 Edith Street,Waratah,2298,NSW,"20 Edith Street, Waratah, NSW, 2298",Hunter New England Local Health District,Reporting wait times,NSW Health API
Camden Hospital,Not reporting wait times,02 4634 3000,,,Menangle Road,Camden,2570,NSW,"Menangle Road, Camden, NSW, 2570",South Western Sydney Local Health District,Not reporting wait times,NSW Health API
"Campbell Hospital, Coraki",Not reporting wait times,02 6683 2019,,,Spring Street,Coraki,2471,NSW,"Spring Street, Coraki, NSW, 2471",Northern NSW Local Health District,Not reporting wait times,NSW Health API
Campbelltown Hospital,Reporting wait times,02 4634 3000,,,Therry Road,Campbelltown,2560,NSW,"Therry Road, Campbelltown, NSW, 2560",South Western Sydney Local Health District,Reporting wait times,NSW Health API
Canowindra Soldiers Memorial Hospital,Not reporting wait times,02 6340 3033,,,Browns Avenue,Canowindra,2804,NSW,"Browns Avenue, Canowindra, NSW, 2804",Western NSW Local Health District,Not reporting wait times,NSW Health API
Canterbury Hospital,Reporting wait times,02 9787 0000,,,Canterbury Road,Campsie,2194,NSW,"Canterbury Road, Campsie, NSW, 2194",Sydney Local Health District,Reporting wait times,NSW Health API
Carrington Centennial Hospital,No emergency department,02 4659 0590,,,90 Werombi Road,Camden,2570,NSW,"90 Werombi Road, Camden, NSW, 2570",South Western Sydney Local Health District,No emergency department,NSW Health API
Casino & District Memorial Hospital,Not reporting wait times,02 6662 2111,,,Hotham Street,Casino,2470,NSW,"Hotham Street, Casino, NSW, 2470",Northern NSW Local Health District,Not reporting wait times,NSW Health API
Cessnock District Hospital,Reporting wait times,02 4991 0555,,,24 View Street,Cessnock,2325,NSW,"24 View Street, Cessnock, NSW, 2325",Hunter New England Local Health District,Reporting wait times,NSW Health API
Cobar District Hospital,Not reporting wait times,02 6830 2111,,,Lerida Road,Cobar,2835,NSW,"Lerida Road, Cobar, NSW, 2835",Western NSW Local Health District,Not reporting wait times,NSW Health API
Coffs Harbour Base Hospital,Reporting wait times,02 6656 7000,,,345 Pacific Highway,Coffs Harbour,2450,NSW,"345 Pacific Highway, Coffs Harbour, NSW, 2450",Mid North Coast Local Health District,Reporting wait times,NSW Health API
Coledale District Hospital,No emergency department,02 4267 2266,,,636 Lawrence Hargrave Drive,Coledale,2515,NSW,"636 Lawrence Hargrave Drive, Coledale, NSW, 2515",Illawarra Shoalhaven Local Health District,No emergency department,NSW Health API
Collarenebri Health Service,Not reporting wait times,02 6756 4888,,,Walgett Street,Collarenebri,2833,NSW,"Walgett Street, Collarenebri, NSW, 2833",Western NSW Local Health District,Not reporting wait times,NSW Health API
Collarenebri Residential Aged Care,No emergency department,02 6756 4888,,,Walgett Street,Collarenebri,2833,NSW,"Walgett Street, Collarenebri, NSW, 2833",Western NSW Local Health District,No emergency department,NSW Health API
Concord Repatriation General Hospital,Reporting wait times,02 9767 5000,,,Hospital Rd,Concord,2139,NSW,"Hospital Rd, Concord, NSW, 2139",Sydney Local Health District,Reporting wait times,NSW Health API
Condobolin District Hospital,Not reporting wait times,02 6890 1500,,,Madline Street,Condobolin,2877,NSW,"Madline Street, Condobolin, NSW, 2877",Western NSW Local Health District,Not reporting wait times,NSW Health API
Coolah Multi-Purpose Health Service,Not reporting wait times,02 6377 9100,,,Martin Street,Coolah,2843,NSW,"Martin Street, Coolah, NSW, 2843",Western NSW Local Health District,Not reporting wait times,NSW Health API
Coolah Residential Aged Care,No emergency department,02 6377 1177,,,Goddard Street,Coolah,2843,NSW,"Goddard Street, Coolah, NSW, 2843",Western NSW Local Health District,No emergency department,NSW Health API
Coolamon Residential Aged Care,No emergency department,02 6927 3303,,,Buchanan Drive,Coolamon,2701,NSW,"Buchanan Drive, Coolamon, NSW, 2701",Murrumbidgee Local Health District,No emergency department,NSW Health API
Coolamon-Ganmain Health Service,Not reporting wait times,02 6927 3303,,,Buchanan Dr,Coolamon,2701,NSW,"Buchanan Dr, Coolamon, NSW, 2701",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Cooma Hospital & Health Service,Not reporting wait times,02 6455 3222,,,Bent Street,Cooma,2630,NSW,"Bent Street, Cooma, NSW, 2630",Southern NSW Local Health District,Not reporting wait times,NSW Health API
Coonabarabran District Hospital,Not reporting wait times,02 6826 6100,,,101-103 Edwards Street,Coonabarabran,2357,NSW,"101-103 Edwards Street, Coonabarabran, NSW, 2357",Western NSW Local Health District,Not reporting wait times,NSW Health API
Coonamble Health Service,Not reporting wait times,02 6822 9300,,,15 Castlereagh Street,Coonamble,2829,NSW,"15 Castlereagh Street, Coonamble, NSW, 2829",Western NSW Local Health District,Not reporting wait times,NSW Health API
Corowa Health Service,Not reporting wait times,02 6033 7555,,,53 Guy Street,Corowa,2646,NSW,"53 Guy Street, Corowa, NSW, 2646",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Corowa Residential Aged Care,No emergency department,02 6033 7555,,,53 Guy Street,Corowa,2646,NSW,"53 Guy Street, Corowa, NSW, 2646",Murrumbidgee Local Health District,No emergency department,NSW Health API
Cowra District Hospital,Not reporting wait times,02 5338 5500,,,64 Liverpool Street,Cowra,2794,NSW,"64 Liverpool Street, Cowra, NSW, 2794",Western NSW Local Health District,Not reporting wait times,NSW Health API
Crookwell District Hospital,Not reporting wait times,02 4832 1300,,,Kialla Road,Crookwell,2583,NSW,"Kialla Road, Crookwell, NSW, 2583",Southern NSW Local Health District,Not reporting wait times,NSW Health API
Culcairn Health Service,Not reporting wait times,02 6029 8203,,,57 Balfour Street,Culcairn,2660,NSW,"57 Balfour Street, Culcairn, NSW, 2660",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Culcairn Residential Aged Care,No emergency department,02 6029 8203,,,51-55 Balfour Street,Culcairn,2660,NSW,"51-55 Balfour Street, Culcairn, NSW, 2660",Murrumbidgee Local Health District,No emergency department,NSW Health API
David Berry Hospital,No emergency department,02 4464 1001,,,85 Tannery Road,Berry,2535,NSW,"85 Tannery Road, Berry, NSW, 2535",Illawarra Shoalhaven Local Health District,No emergency department,NSW Health API
Delegate Multi-Purpose Service,Not reporting wait times,02 6459 8000,,,Craigie Street,Delegate,2633,NSW,"Craigie Street, Delegate, NSW, 2633",Southern NSW Local Health District,Not reporting wait times,NSW Health API
Delegate Residential Aged Care,No emergency department,02 6458 8008,,,6 Craigie Street,Delegate,2633,NSW,"6 Craigie Street, Delegate, NSW, 2633",Southern NSW Local Health District,No emergency department,NSW Health API
Deniliquin Hospital,Not reporting wait times,03 5882 2800,,,411 Charlotte Street,Deniliquin,2710,NSW,"411 Charlotte Street, Deniliquin, NSW, 2710",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Denman Multi Purpose Service,Not reporting wait times,02 6547 3999,,,51-53 Ogilvie St,Denman,2328,NSW,"51-53 Ogilvie St, Denman, NSW, 2328",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Denman Residential Aged Care,No emergency department,02 6547 3999,,,51-53 Ogilvie St,Denman,2328,NSW,"51-53 Ogilvie St, Denman, NSW, 2328",Hunter New England Local Health District,No emergency department,NSW Health API
Dorrigo Multi-Purpose Service,Not reporting wait times,02 6692 7700,,,Beech Street,Dorrigo,2453,NSW,"Beech Street, Dorrigo, NSW, 2453",Mid North Coast Local Health District,Not reporting wait times,NSW Health API
Dorrigo Residential Aged Care,No emergency department,02 6692 7700,,,Beech Street,Dorrigo,2453,NSW,"Beech Street, Dorrigo, NSW, 2453",Mid North Coast Local Health District,No emergency department,NSW Health API
Dubbo Base Hospital,Reporting wait times,02 6809 6809,,,Myall Street,Dubbo,2830,NSW,"Myall Street, Dubbo, NSW, 2830",Western NSW Local Health District,Reporting wait times,NSW Health API
Dunedoo Health Service,Not reporting wait times,02 6375 1408,,,Digilah Street,Dunedoo,2844,NSW,"Digilah Street, Dunedoo, NSW, 2844",Western NSW Local Health District,Not reporting wait times,NSW Health API
Dunedoo Residential Aged Care,No emergency department,02 6375 1408,,,Digilah Street,Dunedoo,2844,NSW,"Digilah Street, Dunedoo, NSW, 2844",Western NSW Local Health District,No emergency department,NSW Health API
Dungog Community Hospital,Not reporting wait times,02 4995 7000,,,22 Hospital Road,Dungog,2420,NSW,"22 Hospital Road, Dungog, NSW, 2420",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Emmaville - Vegetable Creek Residential Aged Care,No emergency department,02 6734 7900,,,13-33 Glen Inns Road,Emmaville,2371,NSW,"13-33 Glen Inns Road, Emmaville, NSW, 2371",Hunter New England Local Health District,No emergency department,NSW Health API
