hospital_name,hospital_type,phone,email,website,street_address,suburb,postcode,state,full_address,local_health_district,services,source
Northern Beaches Hospital,Reporting wait times,02 9105 5000,,,105 Frenchs Forest Road W,Frenchs Forest,2086,NSW,"105 Frenchs Forest Road W, Frenchs Forest, NSW, 2086",Northern Sydney Local Health District,Reporting wait times,NSW Health API
Nyngan Multi-Purpose Service,Not reporting wait times,02 6835 1700,,,15 Hoskins Street,Nyngan,2825,NSW,"15 Hoskins Street, Nyngan, NSW, 2825",Western NSW Local Health District,Not reporting wait times,NSW Health API
Nyngan Residential Aged Care,No emergency department,02 6835 1700,,,15 Hoskins Street,Nyngan,2825,NSW,"15 Hoskins Street, Nyngan, NSW, 2825",Western NSW Local Health District,No emergency department,NSW Health API
Oberon Health Service,Not reporting wait times,02 6336 7200,,,75 North Street,Oberon,2787,NSW,"75 North Street, Oberon, NSW, 2787",Western NSW Local Health District,Not reporting wait times,NSW Health API
Oberon Residential Aged Care,No emergency department,02 6336 7200,,,North Street,Oberon,2787,NSW,"North Street, Oberon, NSW, 2787",Western NSW Local Health District,No emergency department,NSW Health API
Orange Health Service,Reporting wait times,02 6369 3000,,,1502 Forest Road,Orange,2800,NSW,"1502 Forest Road, Orange, NSW, 2800",Western NSW Local Health District,Reporting wait times,NSW Health API
Pambula District Hospital,Not reporting wait times,02 6495 8200,,,Merimbola Street,Pambula,2549,NSW,"Merimbola Street, Pambula, NSW, 2549",Southern NSW Local Health District,Not reporting wait times,NSW Health API
Parkes District Hospital,Not reporting wait times,(02) 6861 2400,,,18 Coleman Road,Parkes,2870,NSW,"18 Coleman Road, Parkes, NSW, 2870",Western NSW Local Health District,Not reporting wait times,NSW Health API
Peak Hill Health Service,Not reporting wait times,02 6869 5200,,,Newell Highway,Peak Hill,2869,NSW,"Newell Highway, Peak Hill, NSW, 2869",Western NSW Local Health District,Not reporting wait times,NSW Health API
Peg Cross Nursing Home,No emergency department,02 6828 6000,,,Fox Street,Walgett,2832,NSW,"Fox Street, Walgett, NSW, 2832",Western NSW Local Health District,No emergency department,NSW Health API
Port Kembla Hospital,No emergency department,02 4223 8000,,,Cowper Street,Port Kembla,2505,NSW,"Cowper Street, Port Kembla, NSW, 2505",Illawarra Shoalhaven Local Health District,No emergency department,NSW Health API
Port Macquarie Base Hospital,Reporting wait times,02 6581 2000,,,Wrights Rd,Port Macquarie,2444,NSW,"Wrights Rd, Port Macquarie, NSW, 2444",Mid North Coast Local Health District,Reporting wait times,NSW Health API
Portland Tabulam Health Centre,No emergency department,02 6359 2666,,,20 Green Street,Portland,2847,NSW,"20 Green Street, Portland, NSW, 2847",Nepean Blue Mountains Local Health District,No emergency department,NSW Health API
Prince of Wales Hospital,Reporting wait times,02 9382 2222,,,Magill St,Randwick,2031,NSW,"Magill St, Randwick, NSW, 2031",South Eastern Sydney Local Health District,Reporting wait times,NSW Health API
Queanbeyan District Hospital,Not reporting wait times,02 6298 9211,,,Corner Erin & Collett Streets,Queanbeyan,2620,NSW,"Corner Erin & Collett Streets, Queanbeyan, NSW, 2620",Southern NSW Local Health District,Not reporting wait times,NSW Health API
Queen Victoria Memorial Home,No emergency department,02 4683 6900,,,615 Thirlmere Way,Picton,2571,NSW,"615 Thirlmere Way, Picton, NSW, 2571",South Western Sydney Local Health District,No emergency department,NSW Health API
Quirindi Community Hospital,Not reporting wait times,02 6746 0200,,,Nowland Street,Quirindi,2343,NSW,"Nowland Street, Quirindi, NSW, 2343",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Royal Hospital for Women,No emergency department,02 9382 6111,,,Barker Street,Randwick,2031,NSW,"Barker Street, Randwick, NSW, 2031",South Eastern Sydney Local Health District,No emergency department,NSW Health API
Royal North Shore Hospital,Reporting wait times,02 9926 7111,,,Pacific Highway,St Leonards,2065,NSW,"Pacific Highway, St Leonards, NSW, 2065",Northern Sydney Local Health District,Reporting wait times,NSW Health API
Royal Prince Alfred Hospital,Reporting wait times,02 9515 6111,,,Missenden Road,Camperdown,2050,NSW,"Missenden Road, Camperdown, NSW, 2050",Sydney Local Health District,Reporting wait times,NSW Health API
Royal Rehabilitation Hospital - Coorabel/Moorong,No emergency department,02 9807 1144,,,227 Morrison Road,Ryde,2112,NSW,"227 Morrison Road, Ryde, NSW, 2112",Northern Sydney Local Health District,No emergency department,NSW Health API
Ryde Hospital,Reporting wait times,02 9874 0199,,,Denistone Road,Eastwood,2122,NSW,"Denistone Road, Eastwood, NSW, 2122",Northern Sydney Local Health District,Reporting wait times,NSW Health API
Rylstone Multi-Purpose Health Service,Not reporting wait times,02 6357 8100,,,Fitzgerald Street,Rylstone,2849,NSW,"Fitzgerald Street, Rylstone, NSW, 2849",Western NSW Local Health District,Not reporting wait times,NSW Health API
Sacred Heart Hospice,No emergency department,02 8382 9444,,,170 Darlinghurst Road,Darlinghurst,2010,NSW,"170 Darlinghurst Road, Darlinghurst, NSW, 2010",St Vincent's Health Network,No emergency department,NSW Health API
"Scott Memorial Hospital, Scone",Not reporting wait times,02 6540 2100,,,Stafford Street,Scone,2337,NSW,"Stafford Street, Scone, NSW, 2337",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Shellharbour Hospital,Reporting wait times,02 4295 2500,,,15-17 Madigan Boulevarde,Mt Warrigal,2528,NSW,"15-17 Madigan Boulevarde, Mt Warrigal, NSW, 2528",Illawarra Shoalhaven Local Health District,Reporting wait times,NSW Health API
Shoalhaven Hospital,Reporting wait times,02 4421 3111,,,Shoalhaven Street,Nowra,2541,NSW,"Shoalhaven Street, Nowra, NSW, 2541",Illawarra Shoalhaven Local Health District,Reporting wait times,NSW Health API
Singleton District Hospital,Reporting wait times,02 6571 9222,,,Dangar Road,Singleton,2330,NSW,"Dangar Road, Singleton, NSW, 2330",Hunter New England Local Health District,Reporting wait times,NSW Health API
Springwood Hospital,No emergency department,02 4751 0300,,,Huntley Grange Road,Springwood,2777,NSW,"Huntley Grange Road, Springwood, NSW, 2777",Nepean Blue Mountains Local Health District,No emergency department,NSW Health API
St Catherines Villa Nursing Home,No emergency department,02 9805 1655,,,162-166 Balaclava Road,Eastwood,2122,NSW,"162-166 Balaclava Road, Eastwood, NSW, 2122",Northern Sydney Local Health District,No emergency department,NSW Health API
St George Hospital,Reporting wait times,02 9113 1111,,,Belgrave Street,Kogarah,2217,NSW,"Belgrave Street, Kogarah, NSW, 2217",South Eastern Sydney Local Health District,Reporting wait times,NSW Health API
St John of God Hospital,No emergency department,02 4823 7800,,,234 Bourke Street,Goulburn,2580,NSW,"234 Bourke Street, Goulburn, NSW, 2580",Southern NSW Local Health District,No emergency department,NSW Health API
St Joseph's Hospital,No emergency department,02 9649 8941,,,Normanby Road,Auburn,2144,NSW,"Normanby Road, Auburn, NSW, 2144",St Vincent's Health Network,No emergency department,NSW Health API
St Vincent's Hospital,Reporting wait times,02 8382 1111,,,390 Victoria Street,Darlinghurst,2010,NSW,"390 Victoria Street, Darlinghurst, NSW, 2010",St Vincent's Health Network,Reporting wait times,NSW Health API
Sutherland Hospital & Community Health Service,Reporting wait times,02 9540 7111,,,Cnr The Kingsway and Kareena Road,Caringbah,2229,NSW,"Cnr The Kingsway and Kareena Road, Caringbah, NSW, 2229",South Eastern Sydney Local Health District,Reporting wait times,NSW Health API
Sydney Children's Hospital,Reporting wait times,02 9382 1111,,,High Street,Randwick,2031,NSW,"High Street, Randwick, NSW, 2031",Sydney Children's Hospitals Specialty Network,Reporting wait times,NSW Health API
Sydney Hospital & Sydney Eye Hospital,Reporting wait times,02 9382 7111,,,8 Macquarie Street,Sydney,2001,NSW,"8 Macquarie Street, Sydney, NSW, 2001",South Eastern Sydney Local Health District,Reporting wait times,NSW Health API
Tabulam Residential Aged Care,No emergency department,02 6359 2666,,,20 Green Street,Portland,2847,NSW,"20 Green Street, Portland, NSW, 2847",Nepean Blue Mountains Local Health District,No emergency department,NSW Health API
Tamworth Rural Referral Hospital,Reporting wait times,02 6767 7700,,,Dean Street,Tamworth,2340,NSW,"Dean Street, Tamworth, NSW, 2340",Hunter New England Local Health District,Reporting wait times,NSW Health API
Temora Hospital,Not reporting wait times,02 6977 1066,,,169 Temora Young Road,Temora,2666,NSW,"169 Temora Young Road, Temora, NSW, 2666",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Tenterfield Community Hospital,Not reporting wait times,02 6739 5200,,,Naas St,Tenterfield,2372,NSW,"Naas St, Tenterfield, NSW, 2372",Hunter New England Local Health District,Not reporting wait times,NSW Health API
The Children's Hospital at Westmead,Reporting wait times,02 9845 0000,,,Cnr Hawkesbury Rd and Hainsworth St,Westmead,2145,NSW,"Cnr Hawkesbury Rd and Hainsworth St, Westmead, NSW, 2145",Sydney Children's Hospitals Specialty Network,Reporting wait times,NSW Health API
The Cootamundra Hospital,Not reporting wait times,02 6942 0444,,,Mackay Street,Cootamundra,2590,NSW,"Mackay Street, Cootamundra, NSW, 2590",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
The New Maitland Hospital,Reporting wait times,02 4087 1000,,,51 Metford Road,Metford,2323,NSW,"51 Metford Road, Metford, NSW, 2323",Hunter New England Local Health District,Reporting wait times,NSW Health API
Tingha Multi Purpose Service,Not reporting wait times,02 6723 3266,,,13997 Guyra Road,Tingha,2369,NSW,"13997 Guyra Road, Tingha, NSW, 2369",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Tingha Residential Aged Care,No emergency department,02 6723 3266,,,13997 Guyra Road,Tingha,2369,NSW,"13997 Guyra Road, Tingha, NSW, 2369",Hunter New England Local Health District,No emergency department,NSW Health API
Tocumwal Hospital,Not reporting wait times,03 5874 2166,,,Adams Street,Tocomwal,2714,NSW,"Adams Street, Tocomwal, NSW, 2714",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Tomaree Community Hospital,Not reporting wait times,02 4984 0700,,,Trevally Street,Nelson Bay,2315,NSW,"Trevally Street, Nelson Bay, NSW, 2315",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Tottenham Hospital,Not reporting wait times,02 6891 6200,,,Umang Street,Tottenham,2873,NSW,"Umang Street, Tottenham, NSW, 2873",Western NSW Local Health District,Not reporting wait times,NSW Health API
Tottenham Residential Aged Care,No emergency department,02 6892 4003,,,Umang Street,Tottenham,2873,NSW,"Umang Street, Tottenham, NSW, 2873",Western NSW Local Health District,No emergency department,NSW Health API
Trangie Multi-Purpose Health Service,Not reporting wait times,02 6880 8200,,,28 Harris Street,Trangie,2823,NSW,"28 Harris Street, Trangie, NSW, 2823",Western NSW Local Health District,Not reporting wait times,NSW Health API
Trangie Residential Aged Care,No emergency department,02 6888 7546,,,29 Harris Street,Trangie,2823,NSW,"29 Harris Street, Trangie, NSW, 2823",Western NSW Local Health District,No emergency department,NSW Health API
Trundle Multi-Purpose Service,Not reporting wait times,02 6892 1051,,,Brookview Street,Trundle,2875,NSW,"Brookview Street, Trundle, NSW, 2875",Western NSW Local Health District,Not reporting wait times,NSW Health API
Trundle Residential Aged Care,No emergency department,02 6892 1051,,,Brookview Street,Trundle,2875,NSW,"Brookview Street, Trundle, NSW, 2875",Western NSW Local Health District,No emergency department,NSW Health API
Tullamore Health Service,Not reporting wait times,02 6892 5003,,,1 Hinkler Street,Tullamore,2874,NSW,"1 Hinkler Street, Tullamore, NSW, 2874",Western NSW Local Health District,Not reporting wait times,NSW Health API
Tullamore Residential Aged Care,No emergency department,02 6892 5003,,,1 Hinkler Street,Tullamore,2874,NSW,"1 Hinkler Street, Tullamore, NSW, 2874",Western NSW Local Health District,No emergency department,NSW Health API
Tumbarumba Multi Purpose Service,Not reporting wait times,02 6948 9600,,,Mitchell Street,Tumbarumba,2653,NSW,"Mitchell Street, Tumbarumba, NSW, 2653",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Tumbarumba Residential Aged Care,No emergency department,02 6948 9600,,,4 Mitchell Street,Tumbarumba,2653,NSW,"4 Mitchell Street, Tumbarumba, NSW, 2653",Murrumbidgee Local Health District,No emergency department,NSW Health API
Tumut District Hospital,Not reporting wait times,02 6947 0800,,,Simpson Street,Tumut,2720,NSW,"Simpson Street, Tumut, NSW, 2720",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Tweed Valley Hospital,Reporting wait times,02 6677 2000,,,771 Cudgen Road,Cudgen,2487,NSW,"771 Cudgen Road, Cudgen, NSW, 2487",Northern NSW Local Health District,Reporting wait times,NSW Health API
Urana Health Service,Not reporting wait times,02 6920 8106,,,Cnr Church and Princess St,Urana,2645,NSW,"Cnr Church and Princess St, Urana, NSW, 2645",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Urana Residential Aged Care,No emergency department,02 6920 8106,,,Corner of Church and Princess St,Urana,2645,NSW,"Corner of Church and Princess St, Urana, NSW, 2645",Murrumbidgee Local Health District,No emergency department,NSW Health API
Urbenville Health Service,Not reporting wait times,02 6948 1319,,,45 Beaury Street,Urbenville,2475,NSW,"45 Beaury Street, Urbenville, NSW, 2475",Northern NSW Local Health District,Not reporting wait times,NSW Health API
Urbenville Residential Aged Care,No emergency department,02 6948 1319,,,45 Beaury Street,Urbenville,2475,NSW,"45 Beaury Street, Urbenville, NSW, 2475",Northern NSW Local Health District,No emergency department,NSW Health API
Vegetable Creek Hospital,Not reporting wait times,02 6734 7900,,,13-33 Glen Innes Road,Emmaville,2371,NSW,"13-33 Glen Innes Road, Emmaville, NSW, 2371",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Wagga Wagga Base Hospital,Reporting wait times,02 5943 1000,,,Docker Street,Wagga Wagga,2650,NSW,"Docker Street, Wagga Wagga, NSW, 2650",Murrumbidgee Local Health District,Reporting wait times,NSW Health API
Walcha Multi Purpose Service,Not reporting wait times,02 6774 2366,,,11 South Middle Street,Walcha,2354,NSW,"11 South Middle Street, Walcha, NSW, 2354",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Walcha Residential Aged Care,No emergency department,02 6774 2400,,,South Street,Walcha,2354,NSW,"South Street, Walcha, NSW, 2354",Hunter New England Local Health District,No emergency department,NSW Health API
Walgett Health Service,Not reporting wait times,02 6828 6000,,,141 Fox Street,Walgett,2832,NSW,"141 Fox Street, Walgett, NSW, 2832",Western NSW Local Health District,Not reporting wait times,NSW Health API
Wallsend Aged Care Facility,No emergency department,02 4924 6100,,,15 Nash Street,Wallsend,2287,NSW,"15 Nash Street, Wallsend, NSW, 2287",Hunter New England Local Health District,No emergency department,NSW Health API
War Memorial Hospital,No emergency department,02 9369 0100,,,125 Birrell Street,Waverley,2024,NSW,"125 Birrell Street, Waverley, NSW, 2024",South Eastern Sydney Local Health District,No emergency department,NSW Health API
Warialda Multi Purpose Service,Not reporting wait times,02 6728 9000,,,Long Street,Warialda,2402,NSW,"Long Street, Warialda, NSW, 2402",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Warren Multi-Purpose Health Service,Not reporting wait times,02 6847 7200,,,Dr Kater Drive,Warren,2824,NSW,"Dr Kater Drive, Warren, NSW, 2824",Western NSW Local Health District,Not reporting wait times,NSW Health API
Warren Residential Aged Care,No emergency department,02 6847 7200,,,Dr Kater Drive,Warren,2824,NSW,"Dr Kater Drive, Warren, NSW, 2824",Western NSW Local Health District,No emergency department,NSW Health API
Wauchope District Memorial Hospital,No emergency department,02 6585 1300,,,69 High Street,Wauchope,2446,NSW,"69 High Street, Wauchope, NSW, 2446",Mid North Coast Local Health District,No emergency department,NSW Health API
Wee Waa Community Hospital,Not reporting wait times,02 6795 0400,,,Alma Street,Wee Waa,2388,NSW,"Alma Street, Wee Waa, NSW, 2388",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Wellington Health Service,Not reporting wait times,02 6840 7200,,,Gisborne Street,Wellington,2820,NSW,"Gisborne Street, Wellington, NSW, 2820",Western NSW Local Health District,Not reporting wait times,NSW Health API
Wentworth District Hospital,Not reporting wait times,03 5027 2345,,,Silver City Hwy,Wentworth,2648,NSW,"Silver City Hwy, Wentworth, NSW, 2648",Far West Local Health District,Not reporting wait times,NSW Health API
Werris Creek Community Hospital,Not reporting wait times,02 6768 6600,,,North Street,Werris Creek,2341,NSW,"North Street, Werris Creek, NSW, 2341",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Westmead Hospital,Reporting wait times,02 8890 5555,,,Cnr Hawkesbury & Darcy Road,Westmead,2145,NSW,"Cnr Hawkesbury & Darcy Road, Westmead, NSW, 2145",Western Sydney Local Health District,Reporting wait times,NSW Health API
Wilcannia Multi-Purpose Service,Not reporting wait times,08 8083 8777,,,14 Ross Street,Wilcannia,2836,NSW,"14 Ross Street, Wilcannia, NSW, 2836",Far West Local Health District,Not reporting wait times,NSW Health API
Wilcannia Residential Age Care,No emergency department,08 8083 8777,,,Ross Street,Wilcannia,2836,NSW,"Ross Street, Wilcannia, NSW, 2836",Far West Local Health District,No emergency department,NSW Health API
"Wilson Memorial Community Hospital, Murrurundi",Not reporting wait times,02 6546 9000,,,Cnr O'Connell & Paradise Rd,Murrurundi,2338,NSW,"Cnr O'Connell & Paradise Rd, Murrurundi, NSW, 2338",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Wingham Community Hospital,No emergency department,02 6557 3400,,,32 Bungay Road,Wingham,2429,NSW,"32 Bungay Road, Wingham, NSW, 2429",Hunter New England Local Health District,No emergency department,NSW Health API
Wollongong Hospital,Reporting wait times,02 4222 5000,,,Loftus Street,Wollongong,2500,NSW,"Loftus Street, Wollongong, NSW, 2500",Illawarra Shoalhaven Local Health District,Reporting wait times,NSW Health API
Woy Woy Public Hospital,No emergency department,02 4344 8444,,,Ocean Beach Road,Woy Woy,2256,NSW,"Ocean Beach Road, Woy Woy, NSW, 2256",Central Coast Local Health District,No emergency department,NSW Health API
Wyalong Hospital,Not reporting wait times,02 6979 0000,,,70 Ungarie Road,West Wyalong,2671,NSW,"70 Ungarie Road, West Wyalong, NSW, 2671",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Wyong Public Hospital,Reporting wait times,02 4394 8000,,,Pacific Highway,Kanwal,2259,NSW,"Pacific Highway, Kanwal, NSW, 2259",Central Coast Local Health District,Reporting wait times,NSW Health API
Yass District Hospital,Not reporting wait times,(02) 6220 2000,,,Meehan Street,Yass,2582,NSW,"Meehan Street, Yass, NSW, 2582",Southern NSW Local Health District,Not reporting wait times,NSW Health API
Young District Hospital,Not reporting wait times,02 6382 8888,,,Allanan Street,Young,2594,NSW,"Allanan Street, Young, NSW, 2594",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
